kills,assists,deaths,total_gold,gold_per_min,last_hits_per_min,hero_heal_damage,wards_placed,tower_damage,xp_per_min,rank_tier
6.0,7.0,7.0,8411.0,366.0,0.07,13885.0,0.0,0.0,359.0,6.0
7.0,5.0,5.0,14247.0,486.0,0.1,8409.0,0.0,1626.0,608.0,4.0
6.0,7.0,7.0,11374.0,388.0,0.09,14008.0,0.0,0.0,423.0,4.0
2.0,11.0,3.0,8238.0,325.0,0.01,7443.0,0.0,202.0,406.0,6.0
18.0,2.0,3.0,17922.0,707.0,0.07,20905.0,0.0,18746.0,757.0,6.0
3.0,6.0,11.0,6312.0,249.0,0.01,14407.0,0.0,0.0,390.0,6.0
3.0,1.0,7.0,9379.0,370.0,0.09,11972.0,0.0,299.0,430.0,6.0
0.0,3.0,7.0,4410.0,174.0,0.01,5512.0,0.0,0.0,202.0,6.0
3.0,3.0,7.0,9100.0,359.0,0.08,9126.0,0.0,65.0,454.0,5.0
5.0,18.0,2.0,10479.0,401.0,0.03,9956.0,13.0,648.0,338.0,4.0
6.0,11.0,3.0,13249.0,507.0,0.07,18154.0,0.0,6134.0,527.0,4.0
0.0,2.0,5.0,10976.0,420.0,0.09,5113.0,1.0,0.0,358.0,4.0
4.0,2.0,7.0,5749.0,220.0,0.02,6263.0,6.0,0.0,240.0,4.0
1.0,4.0,8.0,4285.0,164.0,0.01,2758.0,11.0,0.0,256.0,3.0
2.0,4.0,8.0,6559.0,251.0,0.04,11786.0,5.0,0.0,299.0,4.0
3.0,3.0,7.0,7134.0,273.0,0.05,7113.0,0.0,0.0,355.0,4.0
4.0,10.0,10.0,6554.0,232.0,0.01,8872.0,0.0,684.0,234.0,6.0
5.0,8.0,7.0,12514.0,443.0,0.1,23128.0,0.0,1058.0,414.0,6.0
0.0,12.0,6.0,5311.0,188.0,0.01,9326.0,0.0,76.0,226.0,6.0
11.0,15.0,1.0,18955.0,671.0,0.12,33133.0,0.0,11209.0,614.0,6.0
3.0,26.0,5.0,8983.0,318.0,0.01,12363.0,0.0,489.0,406.0,6.0
5.0,21.0,6.0,9802.0,347.0,0.01,13182.0,0.0,539.0,297.0,6.0
7.0,11.0,5.0,10350.0,371.0,0.05,9973.0,0.0,1510.0,362.0,2.0
5.0,16.0,1.0,7867.0,282.0,0.01,9536.0,0.0,674.0,439.0,2.0
3.0,2.0,7.0,6612.0,237.0,0.02,5346.0,0.0,158.0,199.0,2.0
29.0,6.0,4.0,19689.0,707.0,0.06,36910.0,0.0,4476.0,942.0,2.0
4.0,16.0,7.0,9441.0,339.0,0.0,15798.0,0.0,399.0,432.0,2.0
2.0,3.0,8.0,4818.0,173.0,0.02,2342.0,0.0,0.0,133.0,1.0
5.0,7.0,3.0,13206.0,560.0,0.08,8258.0,0.0,5408.0,467.0,3.0
11.0,7.0,3.0,11320.0,480.0,0.06,9683.0,0.0,2686.0,468.0,3.0
7.0,15.0,5.0,12428.0,527.0,0.09,14468.0,0.0,3724.0,546.0,3.0
10.0,16.0,5.0,9952.0,422.0,0.01,14722.0,0.0,605.0,458.0,4.0
5.0,4.0,5.0,5565.0,236.0,0.01,13541.0,0.0,0.0,288.0,4.0
2.0,8.0,8.0,6367.0,270.0,0.04,6100.0,0.0,0.0,320.0,3.0
5.0,5.0,8.0,8254.0,350.0,0.07,11267.0,0.0,19.0,436.0,4.0
6.0,3.0,10.0,12924.0,448.0,0.11,13224.0,0.0,114.0,532.0,5.0
3.0,10.0,10.0,7125.0,247.0,0.02,12612.0,0.0,0.0,331.0,5.0
7.0,5.0,3.0,13646.0,473.0,0.1,10636.0,0.0,2538.0,585.0,6.0
1.0,8.0,10.0,10732.0,372.0,0.08,9514.0,0.0,26.0,457.0,5.0
20.0,7.0,4.0,18464.0,640.0,0.09,22779.0,0.0,3659.0,796.0,6.0
4.0,12.0,4.0,15261.0,529.0,0.1,13141.0,0.0,3749.0,609.0,5.0
7.0,17.0,7.0,15665.0,543.0,0.12,12780.0,0.0,5518.0,552.0,5.0
1.0,0.0,5.0,6049.0,230.0,0.02,4461.0,0.0,126.0,179.0,5.0
1.0,5.0,0.0,9099.0,346.0,0.06,3961.0,0.0,253.0,305.0,5.0
24.0,14.0,1.0,21697.0,825.0,0.12,33970.0,0.0,6272.0,987.0,3.0
8.0,12.0,7.0,12834.0,488.0,0.04,7441.0,0.0,2785.0,450.0,4.0
2.0,0.0,1.0,6351.0,474.0,0.07,1478.0,0.0,1944.0,370.0,5.0
3.0,0.0,2.0,5721.0,427.0,0.05,2812.0,0.0,1520.0,280.0,5.0
1.0,0.0,2.0,2948.0,220.0,0.02,2245.0,0.0,0.0,136.0,5.0
6.0,0.0,4.0,13587.0,1014.0,0.08,7436.0,0.0,2845.0,508.0,5.0
8.0,9.0,0.0,18100.0,634.0,0.13,17521.0,0.0,21.0,700.0,4.0
5.0,15.0,3.0,15017.0,526.0,0.09,11773.0,0.0,10236.0,456.0,5.0
7.0,0.0,8.0,8022.0,281.0,0.04,10480.0,0.0,102.0,381.0,4.0
0.0,5.0,8.0,5624.0,197.0,0.03,5228.0,0.0,133.0,230.0,4.0
7.0,2.0,5.0,11628.0,451.0,0.1,10765.0,0.0,0.0,524.0,7.0
3.0,11.0,11.0,6574.0,255.0,0.01,7514.0,0.0,0.0,381.0,6.0
3.0,7.0,10.0,6265.0,243.0,0.03,9621.0,0.0,0.0,344.0,6.0
5.0,9.0,5.0,9514.0,369.0,0.07,19076.0,0.0,0.0,457.0,7.0
4.0,4.0,8.0,8560.0,332.0,0.07,8511.0,0.0,1209.0,339.0,6.0
13.0,4.0,3.0,16681.0,647.0,0.1,17142.0,0.0,4622.0,765.0,7.0
11.0,8.0,10.0,11241.0,436.0,0.02,17046.0,0.0,411.0,518.0,7.0
7.0,8.0,4.0,13149.0,510.0,0.07,10834.0,0.0,1294.0,579.0,6.0
3.0,7.0,4.0,8328.0,323.0,0.02,12585.0,0.0,563.0,454.0,7.0
4.0,11.0,2.0,15005.0,582.0,0.11,6009.0,0.0,14379.0,547.0,6.0
3.0,7.0,7.0,7824.0,288.0,0.06,10562.0,0.0,0.0,381.0,7.0
1.0,7.0,10.0,6411.0,236.0,0.06,4893.0,0.0,0.0,315.0,7.0
2.0,9.0,10.0,6737.0,248.0,0.03,6808.0,0.0,0.0,238.0,7.0
8.0,10.0,6.0,9372.0,345.0,0.06,17680.0,0.0,12.0,493.0,7.0
5.0,11.0,9.0,9943.0,366.0,0.02,14370.0,0.0,807.0,314.0,7.0
9.0,7.0,3.0,16327.0,601.0,0.11,14107.0,0.0,5141.0,596.0,7.0
2.0,19.0,3.0,8720.0,321.0,0.02,6232.0,0.0,402.0,354.0,7.0
11.0,7.0,1.0,17604.0,648.0,0.1,14197.0,0.0,7580.0,728.0,7.0
10.0,13.0,2.0,26940.0,1016.0,0.14,28892.0,0.0,7055.0,700.0,6.0
13.0,11.0,4.0,12648.0,477.0,0.05,15236.0,0.0,1713.0,511.0,6.0
2.0,10.0,5.0,7981.0,301.0,0.01,10349.0,0.0,405.0,308.0,5.0
1.0,0.0,3.0,14955.0,564.0,0.14,2539.0,0.0,7093.0,557.0,6.0
3.0,8.0,4.0,10871.0,410.0,0.09,15161.0,0.0,732.0,521.0,6.0
3.0,2.0,6.0,6814.0,257.0,0.02,4611.0,0.0,35.0,369.0,5.0
