kda,gold_efficiency,last_hits_per_min,hero_heal_damage,wards_placed,tower_damage,rune_pickups,teamfight_participation,xp_per_min,rank_tier
0.33,14.25,0.0,1446.0,0.0,0.0,0,0,93.0,7.0
0.0,14.25,0.02,1062.0,0.0,0.0,0,0,111.0,7.0
1.33,26.17,0.04,19958.0,0.0,24.0,0,0,722.0,5.0
6.8,26.17,0.09,31220.0,0.0,6854.0,0,0,677.0,6.0
10.5,22.42,0.04,18938.0,0.0,3215.0,0,0,451.0,6.0
4.5,22.42,0.09,13905.0,0.0,12252.0,0,0,560.0,6.0
2.8,22.42,0.02,9163.0,0.0,148.0,0,0,293.0,6.0
2.6,22.42,0.08,12620.0,0.0,2555.0,0,0,392.0,7.0
5.0,22.41,0.02,12413.0,0.0,937.0,0,0,329.0,6.0
1.22,22.42,0.03,19772.0,0.0,0.0,0,0,276.0,6.0
1.67,22.42,0.01,10732.0,0.0,0.0,0,0,322.0,6.0
0.89,22.41,0.0,3569.0,0.0,0.0,0,0,176.0,6.0
1.2,22.42,0.07,4493.0,0.0,0.0,0,0,494.0,6.0
1.67,22.41,0.03,7396.0,0.0,30.0,0,0,354.0,5.0
0.55,28.05,0.04,8482.0,0.0,0.0,0,0,347.0,5.0
8.67,28.05,0.04,13796.0,0.0,2700.0,0,0,445.0,5.0
4.0,28.05,0.01,6839.0,0.0,2891.0,0,0,385.0,4.0
3.17,28.05,0.1,17471.0,0.0,7297.0,0,0,369.0,6.0
0.62,29.63,0.06,8248.0,0.0,0.0,0,0,453.0,3.0
0.75,29.63,0.05,12487.0,0.0,0.0,0,0,329.0,5.0
0.5,29.63,0.07,8457.0,0.0,0.0,0,0,436.0,5.0
19.0,29.63,0.11,20345.0,0.0,6027.0,0,0,737.0,5.0
3.2,29.63,0.04,3372.0,0.0,17.0,0,0,298.0,5.0
11.0,29.63,0.1,24107.0,0.0,9306.0,0,0,843.0,5.0
2.2,16.68,0.05,6966.0,0.0,193.0,0,0,355.0,6.0
2.8,16.68,0.02,7733.0,0.0,0.0,0,0,276.0,6.0
4.5,16.68,0.1,15729.0,0.0,3838.0,0,0,621.0,6.0
8.0,16.68,0.05,12315.0,0.0,3391.0,0,0,494.0,6.0
1.75,16.68,0.06,8598.0,0.0,44.0,0,0,350.0,6.0
0.75,16.68,0.06,6425.0,0.0,933.0,0,0,375.0,6.0
3.0,28.35,0.05,17062.0,0.0,2667.0,4.0,0.37,429.0,4.0
5.8,28.35,0.07,19471.0,0.0,6879.0,0.0,0.71,571.0,4.0
5.0,28.35,0.07,33210.0,0.0,3019.0,2.0,0.73,781.0,5.0
0.71,27.7,0.01,2403.0,0.0,61.0,0,0,165.0,4.0
